election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,2377,חורה,10,part 2 page 125,0,"בי""ס יסודי חורה ב'",manual visual transcription of K17 scanned polling-place list
K17,2379,חורה,30,part 2 page 125,0,"בי""ס יסודי חורה ב'",manual visual transcription of K17 scanned polling-place list
K17,2381,חורה,50,part 2 page 125,0,"בי""ס יסודי חורה ב'",manual visual transcription of K17 scanned polling-place list
K17,2382,חורה,60,part 2 page 125,0,"בי""ס תיכון ע""ש רבין",manual visual transcription of K17 scanned polling-place list
K17,1040,טורעאן,10,part 1 page 51,0,מזכירות,manual visual transcription of K17 scanned polling-place list
K17,1041,טורעאן,20,part 1 page 51,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,1042,טורעאן,30,part 1 page 51,0,חטיבת ביניים,manual visual transcription of K17 scanned polling-place list
K17,1043,טורעאן,40,part 1 page 51,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1044,טורעאן,50,part 1 page 51,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1045,טורעאן,60,part 1 page 51,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1046,טורעאן,70,part 1 page 51,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1047,טורעאן,80,part 1 page 51,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,3104,טירה,10,part 1 page 123,0,"בי""ס אל נאג'ח",manual visual transcription of K17 scanned polling-place list
K17,3105,טירה,20,part 1 page 123,0,"בי""ס אל נאג'ח",manual visual transcription of K17 scanned polling-place list
K17,3106,טירה,30,part 1 pages 123-124,0,"ביה""ס יסודי ""אל מג'י",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,3107,טירה,40,part 1 pages 123-124,0,"בי""ס אל עמריה",manual visual transcription of K17 scanned polling-place list
K17,3108,טירה,50,part 1 page 123,0,"בי""ס אל גזליה ד1. ד3",manual visual transcription of K17 scanned polling-place list
K17,3109,טירה,60,part 1 pages 123-124,0,"תיכון ע""ש איבראהים ק",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,3110,טירה,70,part 1 pages 123-124,0,"תיכון ע""ש איבראהים ק",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,3111,טירה,80,part 1 pages 123-124,0,"חט""ב ב'",manual visual transcription of K17 scanned polling-place list
