geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2011:11460001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11460001,2011,11460001,loc:1146,1146,עלומים,ALUMIM,1,official_cbs,official_cbs
stat2011:11470001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11470001,2011,11470001,loc:1147,1147,נטועה,NETU'A,1,official_cbs,official_cbs
stat2011:11480001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11480001,2011,11480001,loc:1148,1148,צור נתן,ZUR NATAN,1,official_cbs,official_cbs
stat2011:11490001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11490001,2011,11490001,loc:1149,1149,עזר,EZER,1,official_cbs,official_cbs
stat2011:11500001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11500001,2011,11500001,loc:1150,1150,צופר,ZOFAR,1,official_cbs,official_cbs
stat2011:11510001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11510001,2011,11510001,loc:1151,1151,פארן,PARAN,1,official_cbs,official_cbs
stat2011:11520001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11520001,2011,11520001,loc:1152,1152,אשלים,ASHALIM,1,official_cbs,official_cbs
stat2011:11530001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11530001,2011,11530001,loc:1153,1153,כישור,KISHOR,1,official_cbs,official_cbs
stat2011:11540001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11540001,2011,11540001,loc:1154,1154,מלכישוע,MALKISHUA,1,official_cbs,official_cbs
stat2011:11550001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11550001,2011,11550001,loc:1155,1155,מגן שאול,MAGEN SHA'UL,1,official_cbs,official_cbs
