source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס,address_match_status,address_query,unresolved_reason
K19:976,K19,976,6000,באקה אל-גרביה,21,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,505,231,229,2,25,0,78,0,1,0,16,0,0,0,0,1,0,0,6,0,0,0,0,91,0,1,0,0,0,0,0,2,0,8,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:977,K19,977,6000,באקה אל-גרביה,22,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,653,312,303,9,59,0,77,0,0,0,18,0,0,1,0,0,0,1,11,0,0,0,0,118,0,2,0,0,0,0,0,0,2,12,2,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:978,K19,978,6000,באקה אל-גרביה,23,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,595,243,230,13,51,0,65,0,0,0,11,0,0,0,1,0,0,1,4,0,0,0,0,92,0,0,0,0,0,0,0,1,1,2,0,1,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:979,K19,979,6000,באקה אל-גרביה,24,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,595,274,269,5,53,0,64,0,0,0,8,1,0,0,0,0,2,0,5,0,0,0,0,113,0,1,0,0,0,0,0,0,0,21,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:1314,K19,1314,480,בית ג'ן,1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,480,בית ג'ן,,direct_address_geocode_needed,automatic_code_match,613,394,384,10,66,0,17,0,0,0,8,0,0,0,3,0,35,53,22,0,0,0,0,0,0,1,2,0,0,0,0,0,66,1,0,0,0,110,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:1315,K19,1315,480,בית ג'ן,2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,480,בית ג'ן,,direct_address_geocode_needed,automatic_code_match,643,373,363,10,63,0,15,0,0,0,12,1,0,0,2,1,27,71,11,0,0,0,0,3,0,5,1,0,0,0,1,0,83,0,0,1,1,65,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:1316,K19,1316,480,בית ג'ן,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,480,בית ג'ן,,direct_address_geocode_needed,automatic_code_match,626,363,360,3,73,0,44,0,0,0,16,1,0,0,3,0,30,76,3,0,0,0,0,0,0,4,0,0,0,0,2,0,60,0,0,1,0,47,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:1317,K19,1317,480,בית ג'ן,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,480,בית ג'ן,,direct_address_geocode_needed,automatic_code_match,659,354,351,3,79,0,27,0,0,0,4,0,0,0,1,0,18,78,2,0,0,0,0,1,0,1,0,0,0,0,1,0,55,0,0,0,0,84,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:1318,K19,1318,480,בית ג'ן,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,480,בית ג'ן,,direct_address_geocode_needed,automatic_code_match,617,312,312,0,66,0,31,0,0,0,7,0,0,0,1,0,29,65,3,0,0,0,0,0,0,3,0,0,0,0,0,0,42,0,1,0,0,64,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:1319,K19,1319,480,בית ג'ן,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,480,בית ג'ן,,direct_address_geocode_needed,automatic_code_match,626,432,429,3,73,0,23,0,0,0,4,0,0,0,1,0,58,45,4,0,0,0,0,1,0,3,0,0,0,0,0,1,163,0,0,1,0,52,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
