source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס,unresolved_reason
K18:908,K18,908,6000,באקה-ג'ת,21,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,604,306,300,6,9,0,0,0,113,0,15,0,0,1,0,0,0,3,0,0,2,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:909,K18,909,6000,באקה-ג'ת,101,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,688,305,305,0,7,0,0,0,138,0,37,0,0,0,0,0,0,1,0,1,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:910,K18,910,6000,באקה-ג'ת,102,no_direct_historical_assignment,statistical_area_pending,,,,,,,628,ג'ת,,historical_stat_area_pending,reviewed_component_locality_override,688,519,514,5,35,0,0,0,250,0,21,0,0,0,0,0,0,5,0,1,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:911,K18,911,6000,באקה-ג'ת,103,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,647,327,323,4,18,0,0,0,165,0,25,0,0,0,0,0,0,2,0,0,1,0,0,0,0,110,0,0,0,0,0,0,2,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:912,K18,912,6000,באקה-ג'ת,104,no_direct_historical_assignment,statistical_area_pending,,,,,,,628,ג'ת,,historical_stat_area_pending,reviewed_component_locality_override,581,266,262,4,2,0,0,0,97,0,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,139,0,0,0,0,0,0,1,0,0,0,1,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:913,K18,913,6000,באקה-ג'ת,105,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,594,234,230,4,1,0,0,0,89,0,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,113,0,0,0,0,0,0,1,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:914,K18,914,6000,באקה-ג'ת,106,no_direct_historical_assignment,statistical_area_pending,,,,,,,628,ג'ת,,historical_stat_area_pending,reviewed_component_locality_override,653,346,346,0,22,0,0,0,127,0,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:915,K18,915,6000,באקה-ג'ת,107,no_direct_historical_assignment,statistical_area_pending,,,,,,,628,ג'ת,,historical_stat_area_pending,reviewed_component_locality_override,676,247,243,4,0,0,0,0,85,0,14,0,0,0,0,0,0,2,0,1,2,0,0,0,0,138,0,0,0,0,0,0,1,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:916,K18,916,6000,באקה-ג'ת,108,no_direct_historical_assignment,statistical_area_pending,,,,,,,628,ג'ת,,historical_stat_area_pending,reviewed_component_locality_override,658,246,242,4,5,0,0,0,88,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:917,K18,917,6000,באקה-ג'ת,109,no_direct_historical_assignment,statistical_area_pending,,,,,,,628,ג'ת,,historical_stat_area_pending,reviewed_component_locality_override,658,366,357,9,38,0,0,0,124,2,30,0,0,0,0,0,0,2,0,1,5,0,0,0,0,154,0,0,0,0,1,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:1235,K18,1235,480,בית ג'ן,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,750,541,539,2,71,0,0,0,85,0,5,2,0,0,0,0,0,96,32,149,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:1236,K18,1236,480,בית ג'ן,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,668,504,499,5,79,0,1,1,106,0,16,0,0,1,0,0,0,136,40,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,89,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:1237,K18,1237,480,בית ג'ן,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,571,346,345,1,22,0,1,0,166,0,5,0,0,0,1,0,0,74,32,35,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
